------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  3] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 48796
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 49638
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 56953
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 57647
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 44115
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 50155
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 53556
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 58515
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 37449
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  5]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.027 ms    0/   89 (0%)
[  6]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.019 ms    0/   89 (0%)
[  7]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.015 ms    0/   89 (0%)
[  8]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.031 ms    0/   89 (0%)
[  9]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.026 ms    0/   89 (0%)
[ 10]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.022 ms    0/   89 (0%)
[ 11]  7.0- 8.0 sec   128 KBytes  1.05 Mbits/sec   0.042 ms    0/   89 (0%)
[  3]  8.0- 9.0 sec   129 KBytes  1.06 Mbits/sec   0.015 ms    0/   90 (0%)
[  4]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.016 ms    0/   89 (0%)
[  5]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.018 ms    0/   89 (0%)
[  6]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.017 ms    0/   89 (0%)
[  7]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.029 ms    0/   89 (0%)
[  8]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.024 ms    0/   89 (0%)
[  9]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.015 ms    0/   89 (0%)
[ 10]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.013 ms    0/   89 (0%)
[ 11]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec   0.017 ms    0/   89 (0%)
[  4]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.013 ms    0/   89 (0%)
[  3]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.013 ms    0/   89 (0%)
[  5]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.011 ms    0/   89 (0%)
[  6]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.017 ms    0/   89 (0%)
[  7]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.018 ms    0/   89 (0%)
[  9]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.016 ms    0/   89 (0%)
[ 10]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.019 ms    0/   89 (0%)
[  8]  9.0-10.0 sec   129 KBytes  1.06 Mbits/sec   0.017 ms    0/   90 (0%)
[  9]  0.0-10.0 sec  1.25 MBytes  1.05 Mbits/sec   0.017 ms    0/  893 (0%)
[ 11]  9.0-10.0 sec   128 KBytes  1.05 Mbits/sec   0.011 ms    0/   89 (0%)
