20211121095155,10.0.0.9,49622,10.0.0.10,5001,3,0.0-1.0,262144,2097152
20211121095156,10.0.0.9,49622,10.0.0.10,5001,3,1.0-2.0,131072,1048576
20211121095157,10.0.0.9,49622,10.0.0.10,5001,3,2.0-3.0,131072,1048576
20211121095158,10.0.0.9,49622,10.0.0.10,5001,3,3.0-4.0,131072,1048576
20211121095159,10.0.0.9,49622,10.0.0.10,5001,3,4.0-5.0,131072,1048576
20211121095201,10.0.0.9,49622,10.0.0.10,5001,3,5.0-6.0,131072,1048576
20211121095202,10.0.0.9,49622,10.0.0.10,5001,3,6.0-7.0,131072,1048576
20211121095202,10.0.0.9,49622,10.0.0.10,5001,3,7.0-8.0,0,0
20211121095203,10.0.0.9,49622,10.0.0.10,5001,3,8.0-9.0,131072,1048576
20211121095204,10.0.0.9,49622,10.0.0.10,5001,3,9.0-10.0,131072,1048576
20211121095205,10.0.0.9,49622,10.0.0.10,5001,3,10.0-11.0,131072,1048576
20211121095206,10.0.0.9,49622,10.0.0.10,5001,3,11.0-12.0,131072,1048576
20211121095207,10.0.0.9,49622,10.0.0.10,5001,3,12.0-13.0,131072,1048576
20211121095208,10.0.0.9,49622,10.0.0.10,5001,3,13.0-14.0,131072,1048576
20211121095209,10.0.0.9,49622,10.0.0.10,5001,3,14.0-15.0,131072,1048576
20211121095210,10.0.0.9,49622,10.0.0.10,5001,3,15.0-16.0,131072,1048576
20211121095212,10.0.0.9,49622,10.0.0.10,5001,3,16.0-17.0,131072,1048576
20211121095213,10.0.0.9,49622,10.0.0.10,5001,3,17.0-18.0,131072,1048576
20211121095213,10.0.0.9,49622,10.0.0.10,5001,3,18.0-19.0,0,0
20211121095214,10.0.0.9,49622,10.0.0.10,5001,3,19.0-20.0,131072,1048576
20211121095215,10.0.0.9,49622,10.0.0.10,5001,3,20.0-21.0,131072,1048576
20211121095216,10.0.0.9,49622,10.0.0.10,5001,3,21.0-22.0,131072,1048576
20211121095217,10.0.0.9,49622,10.0.0.10,5001,3,22.0-23.0,131072,1048576
20211121095218,10.0.0.9,49622,10.0.0.10,5001,3,23.0-24.0,131072,1048576
20211121095219,10.0.0.9,49622,10.0.0.10,5001,3,24.0-25.0,131072,1048576
20211121095220,10.0.0.9,49622,10.0.0.10,5001,3,25.0-26.0,131072,1048576
20211121095221,10.0.0.9,49622,10.0.0.10,5001,3,26.0-27.0,131072,1048576
20211121095222,10.0.0.9,49622,10.0.0.10,5001,3,27.0-28.0,131072,1048576
20211121095224,10.0.0.9,49622,10.0.0.10,5001,3,28.0-29.0,131072,1048576
20211121095225,10.0.0.9,49622,10.0.0.10,5001,3,29.0-30.0,131072,1048576
20211121095225,10.0.0.9,49622,10.0.0.10,5001,3,30.0-31.0,0,0
20211121095226,10.0.0.9,49622,10.0.0.10,5001,3,31.0-32.0,131072,1048576
20211121095227,10.0.0.9,49622,10.0.0.10,5001,3,32.0-33.0,131072,1048576
20211121095228,10.0.0.9,49622,10.0.0.10,5001,3,33.0-34.0,131072,1048576
20211121095229,10.0.0.9,49622,10.0.0.10,5001,3,34.0-35.0,131072,1048576
20211121095230,10.0.0.9,49622,10.0.0.10,5001,3,35.0-36.0,131072,1048576
20211121095231,10.0.0.9,49622,10.0.0.10,5001,3,36.0-37.0,131072,1048576
20211121095232,10.0.0.9,49622,10.0.0.10,5001,3,37.0-38.0,131072,1048576
20211121095233,10.0.0.9,49622,10.0.0.10,5001,3,38.0-39.0,131072,1048576
20211121095235,10.0.0.9,49622,10.0.0.10,5001,3,39.0-40.0,131072,1048576
20211121095235,10.0.0.9,49622,10.0.0.10,5001,3,40.0-41.0,131072,1048576
20211121095235,10.0.0.9,49622,10.0.0.10,5001,3,41.0-42.0,0,0
20211121095238,10.0.0.9,49622,10.0.0.10,5001,3,42.0-43.0,262144,2097152
20211121095238,10.0.0.9,49622,10.0.0.10,5001,3,43.0-44.0,0,0
20211121095239,10.0.0.9,49622,10.0.0.10,5001,3,44.0-45.0,131072,1048576
20211121095240,10.0.0.9,49622,10.0.0.10,5001,3,45.0-46.0,131072,1048576
20211121095241,10.0.0.9,49622,10.0.0.10,5001,3,46.0-47.0,131072,1048576
20211121095242,10.0.0.9,49622,10.0.0.10,5001,3,47.0-48.0,131072,1048576
20211121095243,10.0.0.9,49622,10.0.0.10,5001,3,48.0-49.0,131072,1048576
20211121095245,10.0.0.9,49622,10.0.0.10,5001,3,49.0-50.0,131072,1048576
20211121095245,10.0.0.9,49622,10.0.0.10,5001,3,50.0-51.0,131072,1048576
20211121095247,10.0.0.9,49622,10.0.0.10,5001,3,51.0-52.0,131072,1048576
20211121095248,10.0.0.9,49622,10.0.0.10,5001,3,52.0-53.0,131072,1048576
20211121095248,10.0.0.9,49622,10.0.0.10,5001,3,53.0-54.0,0,0
20211121095249,10.0.0.9,49622,10.0.0.10,5001,3,54.0-55.0,131072,1048576
20211121095250,10.0.0.9,49622,10.0.0.10,5001,3,55.0-56.0,131072,1048576
20211121095251,10.0.0.9,49622,10.0.0.10,5001,3,56.0-57.0,131072,1048576
20211121095252,10.0.0.9,49622,10.0.0.10,5001,3,57.0-58.0,131072,1048576
